well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update,first_struck_level,second_struck_level,third_struck_level,fourth_struck_level,fifth_struck_level,water_rest_level,ec,ph,temperature
,,,Kenya,Marsabit,,,,Sirma/Natele,2.485195282,36.7689586,675,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Nautolong Spring,2.7349155509994474,36.717140566231954,388,,,,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Adakoroche Water Point,2.9314401489312143,36.63351649398592,414,,,,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Lorusi Springs,2.907394654902711,36.65034333171192,385,,,,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Mulogo Springs,2.826061958002171,36.72021981924415,391,,,,,,,,,,,,,,,5360,5.7,35.7
,,,Kenya,Marsabit,,,,Salama,2.816402285620833,36.71307330633576,384,,,Abandoned,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Larandapasi Springs,2.8051513928681486,36.766201761806734,487,,,Operational,,,,,,,,,,,,1094,8.04,26.7
,,,Kenya,Marsabit,,,,Ngubiri Springs,2.7928875633162025,36.753997947477245,451,,,Operational,,,,,,,,,,,,984,8.55,27.5
,,,Kenya,Marsabit,,,,Loiyangayani Pry,2.758159187392542,36.722885947020295,397,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Japan Platform,2.759135220941949,36.72274024957904,398,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Maji Moto,2.7603824861612543,36.72261201466381,398,,,Operational,,,,,,,,,,,,642,4.4,38
,,,Kenya,Marsabit,,,,Elmolo Campsite,2.764015194,36.72191285931813,393,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kiwanja Ndege,2.7670038250645543,36.72005520717308,389,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kiwanja Ndege(AIC),2.7692066872319923,36.72324246515287,391,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Elburu Moganto Manyatta,3.1868269628057915,36.92936518413857,417,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Gass,3.0696186263408407,36.82558663841773,468,,,Operational,,,,,,,,,,,,2040,3.67,33.1
,,,Kenya,Marsabit,,,,Gass,3.069293003095181,36.82550635921382,464,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Gass,3.066229743913916,36.82623199616325,468,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Gass Pry Sch,3.0677727667975496,36.82480797358272,467,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Gass Pry Sch,3.0675747946704965,36.825258027235776,467,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Isako Malla Pry,3.258589412222553,37.00218279694122,381,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Harsuji Watering Point,3.033323027763754,36.78232401,483,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Holugutha Spring,3.3181670501304685,37.06254717967549,382,,,Operational,,,,,,,,,,,,1051,9.32,28.9
,,,Kenya,Marsabit,,,,Nhorr Pry School,3.313954624050573,37.053909714808086,388,,,Operational,,,,,,,,,,,2.5,,,
,,,Kenya,Marsabit,,,,Nhorr Sec School,3.3156046456725368,37.05614662,385,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Holugunda,3.31347421,37.057887112923176,380,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Holugunda,3.309309010404443,37.059451623388085,377,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Holugunda,3.311463125378495,37.05595678575754,379,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Holugunda,3.311583397589245,37.05734201228263,380,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Helenderi Spring,3.316871198876404,37.05192477576689,381,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Holi Diqa Laga,3.302091823119375,37.03562528163602,738,,,,,,,,,,,,,,,4880,9.23,29.6
